high,low,open,close,volume,date,ticker,close_prediction
65.08750153,64.52749634,64.68499756,64.85749817,94940400,11/7/19,AAPL,60.24554049
65.11000061,64.21250153,64.67250061,65.03500366,69986400,11/8/19,AAPL,60.24589301
65.61750031,64.56999969,64.57499695,65.55000305,81821200,11/11/19,AAPL,60.92605781
65.69750214,65.23000336,65.38749695,65.48999786,87388800,11/12/19,AAPL,61.27071396
66.19499969,65.26750183,65.28250122,66.11750031,102734400,11/13/19,AAPL,61.62197051
66.22000122,65.52500153,65.9375,65.66000366,89182800,11/14/19,AAPL,61.40620223
66.44499969,65.75250244,65.91999817,66.44000244,100206400,11/15/19,AAPL,61.5172918
66.85749817,66.05750275,66.44999695,66.77500153,86703200,11/18/19,AAPL,62.54825341
67,66.34750366,66.97499847,66.57250214,76167200,11/19/19,AAPL,63.00865887
66.51999664,65.09999847,66.38500214,65.79750061,106234400,11/20/19,AAPL,63.47176497
66.00250244,65.29499817,65.92250061,65.50250244,121395200,11/21/19,AAPL,63.3623062
65.79499817,65.20999908,65.64749908,65.44499969,65325200,11/22/19,AAPL,63.57281633
66.61000061,65.62999725,65.67749786,66.59249878,84020400,11/25/19,AAPL,64.85213946
66.79000092,65.625,66.73500061,66.07250214,105207600,11/26/19,AAPL,65.37755704
66.99500275,66.32749939,66.39499664,66.95999908,65235600,11/27/19,AAPL,65.89705305
67,66.47499847,66.65000153,66.8125,46617600,11/29/19,AAPL,66.08773043
67.0625,65.86250305,66.81749725,66.04000092,94487200,12/2/19,AAPL,67.45933068
64.88249969,64.07250214,64.57749939,64.86250305,114430400,12/3/19,AAPL,68.00929917
65.82749939,65.16999817,65.26750183,65.43499756,67181600,12/4/19,AAPL,68.55239327
66.47250366,65.68250275,65.94750214,66.39499664,74424400,12/5/19,AAPL,68.51512233
67.75,66.82499695,66.87000275,67.67749786,106075600,12/6/19,AAPL,68.79187196
67.69999695,66.22750092,67.5,66.73000336,128042400,12/9/19,AAPL,70.25168418
67.51750183,66.46499634,67.15000153,67.12000275,90420400,12/10/19,AAPL,70.83594217
67.77500153,67.125,67.20249939,67.69249725,78756800,12/11/19,AAPL,71.41513816
68.13999939,66.83000183,66.94499969,67.86499786,137310400,12/12/19,AAPL,71.41485979
68.82499695,67.73249817,67.86499786,68.78749847,133587600,12/13/19,AAPL,71.72821921
70.19750214,69.24500275,69.25,69.96499634,128186000,12/16/19,AAPL,73.27819258
70.44249725,69.69999695,69.89250183,70.10250092,114158400,12/17/19,AAPL,73.87894473
70.47499847,69.77999878,69.94999695,69.93499756,116028400,12/18/19,AAPL,74.4639659
70.29499817,69.73750305,69.875,70.00499725,98369200,12/19/19,AAPL,74.45643464
70.66249847,69.63999939,70.55750275,69.86000061,275978000,12/20/19,AAPL,74.74712014
71.0625,70.09249878,70.13249969,71,98572000,12/23/19,AAPL,76.11594244
71.22250366,70.73000336,71.17250061,71.06749725,48478800,12/24/19,AAPL,76.61326996
72.49500275,71.17500305,71.20500183,72.47750092,93121200,12/26/19,AAPL,76.91426191
73.49250031,72.02999878,72.77999878,72.44999695,146266000,12/27/19,AAPL,77.03202894
73.17250061,71.30500031,72.36499786,72.87999725,144114400,12/30/19,AAPL,77.75703328
73.41999817,72.37999725,72.48249817,73.41249847,100805600,12/31/19,AAPL,78.00544786
75.15000153,73.79750061,74.05999756,75.08750153,135480400,1/2/20,AAPL,77.77650274
75.14499664,74.125,74.28749847,74.35749817,146322800,1/3/20,AAPL,77.62142669
74.98999786,73.1875,73.44750214,74.94999695,118387200,1/6/20,AAPL,77.5524443
75.22499847,74.37000275,74.95999908,74.59750366,108872000,1/7/20,AAPL,77.56088486
76.11000061,74.29000092,74.29000092,75.79750061,132079200,1/8/20,AAPL,77.53897399
77.60749817,76.55000305,76.80999756,77.40750122,170108400,1/9/20,AAPL,76.91814973
78.16750336,77.0625,77.65000153,77.58249664,140644800,1/10/20,AAPL,76.59805888
79.26750183,77.78749847,77.91000366,79.23999786,121532000,1/13/20,AAPL,76.24376784
79.39250183,78.04250336,79.17500305,78.16999817,161954400,1/14/20,AAPL,76.23479997
78.875,77.38749695,77.96250153,77.83499908,121923600,1/15/20,AAPL,76.23618259
78.92500305,78.02249908,78.39749908,78.80999756,108829200,1/16/20,AAPL,75.67911844
79.68499756,78.75,79.06749725,79.68250275,137816400,1/17/20,AAPL,75.46207525
79.75499725,79,79.29750061,79.14250183,110843200,1/21/20,AAPL,75.84781945
79.99749756,79.32749939,79.64499664,79.42500305,101832400,1/22/20,AAPL,76.09915157
79.88999939,78.91249847,79.48000336,79.80750275,104472000,1/23/20,AAPL,75.80596078
80.83249664,79.37999725,80.0625,79.57749939,146537600,1/24/20,AAPL,75.86016591
77.94249725,76.22000122,77.51499939,77.23750305,161940000,1/27/20,AAPL,76.8132635
79.59999847,78.04750061,78.15000153,79.42250061,162234000,1/28/20,AAPL,77.26507168
81.96250153,80.34500122,81.11250305,81.08499908,216229200,1/29/20,AAPL,77.71992385
81.02249908,79.6875,80.13500214,80.96749878,126743200,1/30/20,AAPL,77.59676726
80.66999817,77.07250214,80.23249817,77.37750244,199588400,1/31/20,AAPL,77.78194855
78.37249756,75.55500031,76.07499695,77.16500092,173788400,2/3/20,AAPL,78.84994764
79.91000366,78.40750122,78.82749939,79.71250153,136616400,2/4/20,AAPL,79.23760271
81.19000244,79.73750305,80.87999725,80.36250305,118826800,2/5/20,AAPL,79.57485978
81.30500031,80.06500244,80.64250183,81.30249786,105425600,2/6/20,AAPL,79.28104304
80.84999847,79.5,80.59249878,80.00749969,117684000,2/7/20,AAPL,79.24403218
80.38749695,78.46250153,78.54499817,80.38749695,109348800,2/10/20,AAPL,79.36827973
80.97499847,79.67749786,80.90000153,79.90249634,94323200,2/11/20,AAPL,79.36473171
81.80500031,80.36750031,80.36750031,81.80000305,113730400,2/12/20,AAPL,79.28256976
81.55500031,80.83750153,81.04750061,81.21749878,94747600,2/13/20,AAPL,78.54823438
81.49500275,80.71250153,81.18499756,81.23750305,80113600,2/14/20,AAPL,78.05722029
79.9375,78.65249634,78.83999634,79.75,152531200,2/18/20,AAPL,76.38738098
81.14250183,80,80,80.90499878,93984000,2/19/20,AAPL,75.90360036
81.16249847,79.55249786,80.65750122,80.07499695,100566000,2/20/20,AAPL,74.80078318
80.11250305,77.625,79.65499878,78.26249695,129554000,2/21/20,AAPL,73.98078182
76.04499817,72.30750275,74.31500244,74.54499817,222195200,2/24/20,AAPL,72.04322441
75.63249969,71.53250122,75.23750305,72.01999664,230673600,2/25/20,AAPL,71.48707528
74.47000122,71.625,71.63249969,73.16249847,198054800,2/26/20,AAPL,70.93591123
71.5,68.23999786,70.27500153,68.37999725,320605600,2/27/20,AAPL,69.82359851
69.60250092,64.09249878,64.31500244,68.33999634,426510000,2/28/20,AAPL,69.05129831
75.36000061,69.43000031,70.56999969,74.70249939,341397200,3/2/20,AAPL,67.57771062
76,71.44999695,75.91750336,72.33000183,319475600,3/3/20,AAPL,67.27114422
75.84999847,73.28250122,74.11000061,75.68499756,219178400,3/4/20,AAPL,67.00907843
74.88749695,72.85250092,73.87999725,73.23000336,187572800,3/5/20,AAPL,66.21971292
72.70500183,70.30750275,70.5,72.25749969,226176800,3/6/20,AAPL,65.79813924
69.52249908,65.75,65.9375,66.54250336,286744800,3/9/20,AAPL,65.47978434
71.61000061,67.34249878,69.28500366,71.33499908,285290000,3/10/20,AAPL,65.57149645
70.30500031,67.96499634,69.34750366,68.85749817,255598800,3/11/20,AAPL,65.70425294
67.5,62,63.98500061,62.05749893,418474000,3/12/20,AAPL,65.30079586
69.98000336,63.23749924,66.22250366,69.49250031,370732000,3/13/20,AAPL,65.25129372
64.76999664,60,60.48749924,60.55250168,322423600,3/16/20,AAPL,65.92655003
64.40249634,59.59999847,61.87749863,63.21500015,324056000,3/17/20,AAPL,66.29897202
62.5,59.27999878,59.94250107,61.66749954,300233600,3/18/20,AAPL,66.68423896
63.20999908,60.65250015,61.84749985,61.19499969,271857200,3/19/20,AAPL,66.5044241
62.95750046,57,61.79499817,57.31000137,401693200,3/20/20,AAPL,66.64971559
57.125,53.15250015,57.02000046,56.09249878,336752800,3/23/20,AAPL,67.7454686
