high,low,open,close,volume,date,ticker,close_prediction
20.95944023,20.24761391,20.81498146,20.64693642,222003636,2019-11-07,BNB,29.77035845
20.6930294,19.47482109,20.6930294,19.69077301,184596047,2019-11-08,BNB,32.85186189
19.9845829,19.60042953,19.67876434,19.73544693,176812608,2019-11-09,BNB,34.9215157
20.63121605,19.72748184,19.73264694,20.48175812,239714468,2019-11-10,BNB,37.64381181
20.64491653,19.91571236,20.47985077,20.13314056,209454454,2019-11-11,BNB,39.28296659
20.86239243,20.09476662,20.14092636,20.85744667,227650068,2019-11-12,BNB,41.33858177
21.63571358,20.7064991,20.86842346,21.25043106,252296146,2019-11-13,BNB,42.99297609
21.51263809,20.97397614,21.28135681,21.26469994,237992230,2019-11-14,BNB,43.58373048
21.29497337,20.1778965,21.2417202,20.31622505,225530775,2019-11-15,BNB,44.74187894
20.6341362,20.09207344,20.31740761,20.28265381,211016746,2019-11-16,BNB,44.92037355
20.620121,20.03048325,20.27693176,20.26079369,224982344,2019-11-17,BNB,45.80707396
20.43216705,18.93680191,20.34359741,19.31686974,224380017,2019-11-18,BNB,45.68713679
19.63331604,18.37516022,19.31186295,18.70329857,206923366,2019-11-19,BNB,46.0782856
18.92709923,17.85174561,18.70734406,18.17227364,210091849,2019-11-20,BNB,46.17784696
18.18763161,16.6204319,18.16269493,16.84021759,228429806,2019-11-21,BNB,45.33510089
17.27017975,14.68925953,16.84091377,15.58170319,341456274,2019-11-22,BNB,45.18938039
16.46618843,15.15149593,15.58123302,16.41950035,255961052,2019-11-23,BNB,44.19854753
16.49131966,15.27876472,16.39869308,15.27876472,232363837,2019-11-24,BNB,44.05209237
15.73527241,14.19535255,15.28551865,15.26736355,242510343,2019-11-25,BNB,43.03372297
15.86121273,15.22518444,15.27252865,15.52725506,205893351,2019-11-26,BNB,42.65691733
16.19523239,14.94318008,15.49125004,16.09828758,255021618,2019-11-27,BNB,42.1123105
16.2286396,15.6486702,16.09596443,15.68320656,194516396,2019-11-28,BNB,40.74045099
16.3407135,15.64595127,15.67806435,16.27330399,250074235,2019-11-29,BNB,40.17034559
16.37069893,15.53914738,16.26349831,15.71595097,213428131,2019-11-30,BNB,38.84840369
15.74318123,15.05423355,15.74318123,15.49633598,203268417,2019-12-01,BNB,38.45201034
15.7071743,15.15254498,15.50936413,15.19185829,200809249,2019-12-02,BNB,37.25258
15.55317497,15.04866886,15.19185829,15.30955601,219927266,2019-12-03,BNB,36.75154577
15.69058704,15.00968456,15.34842968,15.2799778,237605471,2019-12-04,BNB,36.12814299
16.07777023,14.94940186,15.26021671,15.76283932,255410908,2019-12-05,BNB,34.71250858
15.85693359,15.45458698,15.76719761,15.71129894,236694082,2019-12-06,BNB,34.12450472
15.84858227,15.63249111,15.70438004,15.66708565,242693199,2019-12-07,BNB,32.80286983
15.85142994,15.50932693,15.66282558,15.67452335,223721643,2019-12-08,BNB,32.41892097
15.85270596,15.35024261,15.66611958,15.44853878,209955476,2019-12-09,BNB,31.23965708
15.47015095,14.78095531,15.43883801,14.95886993,192615787,2019-12-10,BNB,30.76371871
15.12133408,14.71032619,14.94753361,14.82455063,170909631,2019-12-11,BNB,30.16906636
14.89561176,14.55736256,14.81962204,14.81816673,165964330,2019-12-12,BNB,28.7859054
14.99510574,14.74026203,14.81725693,14.87874413,177476227,2019-12-13,BNB,28.23527481
15.01233006,14.37133694,14.88323689,14.50501537,173092733,2019-12-14,BNB,26.95791383
14.56965923,14.18899155,14.51248169,14.49044609,167670329,2019-12-15,BNB,26.62764358
14.52559662,13.45865345,14.48874283,13.55878639,178952097,2019-12-16,BNB,25.51412721
13.57794094,12.18373108,13.55548096,12.38694096,186995962,2019-12-17,BNB,25.11847934
13.6065321,12.28678608,12.38169765,13.5352602,234697405,2019-12-18,BNB,24.62060235
13.78485203,12.9661541,13.56822205,13.44577885,174965245,2019-12-19,BNB,23.35179261
13.59332943,13.23140621,13.45949078,13.57077885,203861105,2019-12-20,BNB,22.93304825
13.5832386,13.32900429,13.56809139,13.3806591,192827533,2019-12-21,BNB,21.80370575
13.85187817,13.36833763,13.39024639,13.83588123,204111890,2019-12-22,BNB,21.63465362
13.99912453,13.30570889,13.81048489,13.36903381,159105887,2019-12-23,BNB,20.69099585
13.76830006,13.32615566,13.38139153,13.44457054,177372409,2019-12-24,BNB,20.46764255
13.47613811,13.06514359,13.4590559,13.17483902,152718120,2019-12-25,BNB,20.13670904
13.52395439,13.1567421,13.17680359,13.20863628,157660620,2019-12-26,BNB,19.02026712
13.43977356,13.1230278,13.20863628,13.36271954,164413385,2019-12-27,BNB,18.72887806
13.79353142,13.33493423,13.35340977,13.70541668,197525901,2019-12-28,BNB,17.690529
14.22563839,13.64632797,13.69683647,14.15004539,225354585,2019-12-29,BNB,17.56421296
14.47063446,13.92436218,14.15513229,13.94744205,187275635,2019-12-30,BNB,16.60301408
14.09533119,13.64868164,13.9520874,13.72764206,166278254,2019-12-31,BNB,16.29016215
13.87394619,13.65494156,13.7309618,13.6890831,172980718,2020-01-01,BNB,15.78692261
13.71554756,12.98997402,13.69812584,13.02701092,156376427,2020-01-02,BNB,14.40584884
13.76370907,13.01263809,13.03532887,13.66045189,173683857,2020-01-03,BNB,13.74980857
13.9219141,13.56000805,13.66744232,13.89151192,182230374,2020-01-04,BNB,12.24138809
14.41080093,13.88654709,13.88834,14.11101913,202552703,2020-01-05,BNB,11.53689652
15.00356483,14.11124039,14.11124039,14.95780754,224800409,2020-01-06,BNB,9.88981471
15.13527489,14.56840324,14.96620941,15.00924969,191948560,2020-01-07,BNB,8.787137253
15.24221897,14.33795166,15.02226353,14.60293388,183632222,2020-01-08,BNB,7.397459898
14.61108875,14.3053627,14.58920193,14.4983139,169699829,2020-01-09,BNB,5.044328106
15.02768898,14.18208504,14.47840881,15.02582645,200173072,2020-01-10,BNB,3.345250118
15.25023746,14.77947426,15.02098465,14.94632816,201663503,2020-01-11,BNB,0.740973035
15.47210884,14.86989117,14.94620132,15.32208347,231150158,2020-01-12,BNB,-1.090757503
15.35538673,14.99121571,15.32226086,15.22727203,211785744,2020-01-13,BNB,-3.872107472
16.79066086,15.19440079,15.21528721,16.62612152,299316969,2020-01-14,BNB,-6.090926634
18.09626961,16.39442253,16.60386658,17.65481186,380806616,2020-01-15,BNB,-8.548290218
17.6607933,16.43984795,17.64640236,17.07694626,260423404,2020-01-16,BNB,-11.89074377
