Date,Open,High,Low,Close,Volume,Ticker
2022-10-30,99.58,100.85,97.51,97.94,95928306,meta
2022-10-25 00:00:00,130.88,138.35001,130.59,137.50999,38433200,meta
2022-10-24 00:00:00,127.25,133.48,124.57,129.72,63563400,meta
2022-10-21 00:00:00,126.31,130.12,125.44,130.00999,46195500,meta
2022-10-20 00:00:00,132.92999,136.77,131.31,131.53,26356300,meta
2022-10-19 00:00:00,132.89,137.0,132.22,133.23,30691000,meta
2022-10-18 00:00:00,137.09,137.84,131.39999,132.8,25445000,meta
2022-10-17 00:00:00,130.3,134.78999,130.17999,134.03999,29612200,meta
2022-10-14 00:00:00,131.0,131.78999,126.52,126.76,23538600,meta
2022-10-13 00:00:00,123.53,131.14,122.53,130.28999,34325700,meta
2022-10-12 00:00:00,128.32001,129.67,126.25,127.5,34605200,meta
2022-10-11 00:00:00,131.62,132.66,126.99,128.53999,38481400,meta
2022-10-10 00:00:00,133.55,136.11,131.87,133.78999,24024000,meta
2022-10-07 00:00:00,136.75999,138.28999,132.44,133.45,33179700,meta
2022-10-06 00:00:00,137.72,141.45,136.60001,139.07001,36231100,meta
2022-10-05 00:00:00,138.24001,140.21001,134.78,138.98,27979300,meta
2022-10-04 00:00:00,140.49001,142.39,139.34,140.28,34670700,meta
2022-10-03 00:00:00,137.14,139.62,136.10001,138.61,27723100,meta
2022-09-30 00:00:00,136.05,140.99001,135.5,135.67999,33132400,meta
2022-09-29 00:00:00,139.36,139.84,135.2,136.41,38985400,meta
2022-09-28 00:00:00,134.62,142.03,134.27,141.61,32658500,meta
2022-09-27 00:00:00,137.92,139.42,134.12,134.39999,30826500,meta
2022-09-26 00:00:00,140.12,142.24001,136.19,136.37,30497000,meta
2022-09-23 00:00:00,141.42,142.62,138.89,140.41,31663300,meta
2022-09-22 00:00:00,141.55,144.58,140.87,142.82001,34418500,meta
2022-09-21 00:00:00,146.39,149.60001,142.0,142.12,38338600,meta
2022-09-20 00:00:00,145.78,148.84,145.22,146.09,23217400,meta
2022-09-19 00:00:00,145.24001,148.58,145.10001,148.02,22169500,meta
2022-09-16 00:00:00,148.05,148.58,144.28999,146.28999,40018700,meta
2022-09-15 00:00:00,149.8,154.2,148.7,149.55,34606300,meta
2022-09-14 00:00:00,153.33,153.53999,149.05,151.47,43064200,meta
2022-09-13 00:00:00,161.53999,161.63,152.67,153.13,44444100,meta
2022-09-12 00:00:00,167.39,171.39,167.28,168.96001,23220400,meta
2022-09-09 00:00:00,163.25,169.53999,163.02,169.14999,22086800,meta
2022-09-08 00:00:00,158.71001,162.23,157.74001,162.06,22530800,meta
2022-09-07 00:00:00,157.75999,160.96001,156.81,160.39,16831200,meta
2022-09-06 00:00:00,160.10001,161.69,157.69,158.53999,19339800,meta
2022-09-02 00:00:00,167.45,167.92999,159.22,160.32001,22609100,meta
2022-09-01 00:00:00,163.58,167.36,160.35001,165.36,30145700,meta
2022-08-31 00:00:00,167.07001,167.84,162.14,162.92999,40953000,meta
2022-08-30 00:00:00,160.35001,161.66,155.91,157.16,19567900,meta
2022-08-29 00:00:00,160.66,163.05,159.00999,159.17,20052700,meta
2022-08-26 00:00:00,168.48,170.92,161.67,161.78,24023600,meta
2022-08-25 00:00:00,165.17999,168.88,164.02,168.78,15550500,meta
2022-08-24 00:00:00,160.60001,165.46001,159.77,163.25999,20891500,meta
2022-08-23 00:00:00,162.48,165.05,160.7,161.11,18111800,meta
2022-08-22 00:00:00,165.49001,165.49001,162.25999,163.05,19499700,meta
2022-08-19 00:00:00,170.2,172.32001,167.05,167.96001,26158300,meta
2022-08-18 00:00:00,174.34,175.75999,171.86,174.66,18844500,meta
2022-08-17 00:00:00,176.75999,178.14,174.17,174.85001,20118100,meta
2022-08-16 00:00:00,179.44,180.99001,177.03999,179.47,21156700,meta
2022-08-15 00:00:00,178.96001,181.44,178.2,180.89,15878700,meta
2022-08-12 00:00:00,180.81,181.46001,178.91,180.5,21239600,meta
2022-08-11 00:00:00,179.71001,183.10001,176.37,177.49001,24079100,meta
2022-08-10 00:00:00,175.99001,180.48,173.95,178.34,30262100,meta
2022-08-09 00:00:00,168.95,169.53,166.60001,168.53,18655100,meta
2022-08-08 00:00:00,168.0,177.50999,167.13,170.25,27299100,meta
2022-08-05 00:00:00,166.99001,171.61,165.8,167.11,25816700,meta
2022-08-04 00:00:00,168.3,172.14999,166.8,170.57001,23938200,meta
2022-08-03 00:00:00,162.69,169.53999,161.57001,168.8,31721900,meta
2022-08-02 00:00:00,158.31,162.24001,158.00999,160.19,27374500,meta
2022-08-01 00:00:00,157.25,165.19,155.23,159.92999,40596700,meta
2022-07-29 00:00:00,157.69,160.14,155.17,159.10001,42065400,meta
2022-07-28 00:00:00,161.06,161.50999,154.85001,160.72,73214300,meta
2022-07-27 00:00:00,162.59,170.87,162.02,169.58,43846600,meta
2022-07-26 00:00:00,165.94,166.0,157.95,159.14999,28468400,meta
2022-07-25 00:00:00,169.0,170.57001,164.81,166.64999,26166300,meta
2022-07-22 00:00:00,173.07001,175.60001,168.41,169.27,42526700,meta
2022-07-21 00:00:00,180.63,183.85001,178.87,183.17,27195800,meta
2022-07-20 00:00:00,177.49001,183.60001,176.7,183.09,24784300,meta
2022-07-19 00:00:00,170.37,176.49001,169.50999,175.78,25933700,meta
2022-07-18 00:00:00,166.75,171.69,165.64,167.23,23574300,meta
2022-07-15 00:00:00,160.53999,164.98,159.82001,164.7,23172800,meta
2022-07-14 00:00:00,161.22,162.59,157.28,158.05,23765200,meta
2022-07-13 00:00:00,160.16,164.98,159.61,163.49001,16555100,meta
2022-07-12 00:00:00,164.8,165.91,162.10001,163.27,16639700,meta
2022-07-11 00:00:00,167.07001,167.49001,161.91,162.88,21885600,meta
2022-07-08 00:00:00,169.98,172.39999,168.14999,170.88,19236000,meta
2022-07-07 00:00:00,169.45,172.72,167.78,172.19,24083400,meta
2022-07-06 00:00:00,168.2,171.59,165.46001,169.77,23085900,meta
2022-07-05 00:00:00,158.14,168.25,157.02,168.19,28618600,meta
2022-07-01 00:00:00,160.31,160.62,155.0,160.03,31400700,meta
2022-06-30 00:00:00,162.14999,165.23,158.49001,161.25,35250600,meta
2022-06-29 00:00:00,163.57001,166.33,160.32001,163.94,28595200,meta
2022-06-28 00:00:00,169.89999,171.3,160.61,160.67999,27744500,meta
2022-06-27 00:00:00,171.32001,171.75,168.00999,169.49001,29174600,meta
2022-06-24 00:00:00,161.73,170.25,161.3,170.16,61991200,meta
2022-06-23 00:00:00,156.27,159.75,154.25,158.75,40499200,meta
2022-06-22 00:00:00,158.38,160.78999,155.44,155.85001,47267800,meta
2022-06-21 00:00:00,165.92999,167.75999,155.97,157.05,50724900,meta
2022-06-17 00:00:00,161.67999,165.89999,159.89999,163.74001,31295300,meta
2022-06-16 00:00:00,163.72,165.08,159.61,160.87,26944100,meta
2022-06-15 00:00:00,167.2,172.16,163.98,169.35001,30008300,meta
2022-06-14 00:00:00,166.03,166.75,161.36,163.73,27244300,meta
2022-06-13 00:00:00,170.59,172.58,164.03,164.25999,31749300,meta
2022-06-10 00:00:00,183.03999,183.10001,175.02,175.57001,27450800,meta
2022-06-09 00:00:00,194.28,199.45,183.67999,184.0,23501600,meta
2022-06-08 00:00:00,194.67,202.03,194.41,196.64,22267200,meta
2022-06-07 00:00:00,191.92999,196.53,191.49001,195.64999,18828700,meta
2022-06-06 00:00:00,193.99001,196.92,188.39999,194.25,30574200,meta
2022-06-03 00:00:00,195.98,196.61,189.78,190.78,19447300,meta
2022-06-02 00:00:00,188.45,200.94,187.73,198.86,31951600,meta
2022-06-01 00:00:00,196.50999,199.53,185.0,188.64,36623500,meta
2022-05-31 00:00:00,194.89,197.60001,192.00999,193.64,26131100,meta
2022-05-27 00:00:00,191.36,195.33,189.8,195.13,22562700,meta
2022-05-26 00:00:00,182.88,192.83,182.25999,191.63,23056500,meta
2022-05-25 00:00:00,180.39999,185.45,179.32001,183.83,28030200,meta
2022-05-24 00:00:00,180.55,183.67999,176.11,181.28,50406300,meta
2022-05-23 00:00:00,195.19,196.99001,191.24001,196.23,25059200,meta
2022-05-20 00:00:00,194.97,197.91,187.87,193.53999,31465600,meta
2022-05-19 00:00:00,191.2,195.28999,189.60001,191.28999,24446900,meta
2022-05-18 00:00:00,200.0,201.0,191.63,192.24001,23960000,meta
2022-05-17 00:00:00,202.12,205.46001,198.36,202.62,24872700,meta
2022-05-16 00:00:00,197.05,205.37,195.92999,200.03999,27112600,meta
2022-05-13 00:00:00,192.58,199.89,191.28,198.62,24549800,meta
2022-05-12 00:00:00,187.06,198.05,184.78,191.24001,38262200,meta
2022-05-11 00:00:00,196.33,200.67,188.27,188.74001,31153400,meta
